CustomerID,Recency,Frequency,Monetary,RFM_Score,Segment
10002.0,325,1,2127.2999999999997,111,Lost Customers
10004.0,518,1,425.46,111,Lost Customers
10005.0,454,1,2978.22,111,Lost Customers
10006.0,361,1,5105.5199999999995,112,Lost Customers
10019.0,448,2,6807.359999999999,123,Lost Customers
10022.0,444,2,11912.88,124,Lost Customers
10031.0,330,2,5956.44,123,Lost Customers
10032.0,521,1,1276.3799999999999,111,Lost Customers
10033.0,482,2,6807.359999999999,123,Lost Customers
10036.0,422,1,1276.3799999999999,111,Lost Customers
10062.0,499,1,2127.2999999999997,111,Lost Customers
10073.0,332,1,3403.68,111,Lost Customers
10077.0,323,1,5530.98,112,Lost Customers
10093.0,387,2,5530.98,122,Lost Customers
10101.0,343,1,2127.2999999999997,111,Lost Customers
10102.0,412,1,3403.68,111,Lost Customers
10106.0,516,1,5105.5199999999995,112,Lost Customers
10116.0,343,1,1701.84,111,Lost Customers
10128.0,341,1,5956.44,113,Lost Customers
10129.0,399,2,8509.199999999999,124,Lost Customers
10134.0,464,1,850.92,111,Lost Customers
10135.0,443,1,1701.84,111,Lost Customers
10140.0,376,1,5530.98,112,Lost Customers
10148.0,482,1,1276.3799999999999,111,Lost Customers
10150.0,495,1,5530.98,112,Lost Customers
10151.0,409,1,1276.3799999999999,111,Lost Customers
10158.0,401,1,3403.68,111,Lost Customers
10159.0,456,2,2127.2999999999997,121,Lost Customers
10180.0,527,1,3403.68,111,Lost Customers
10189.0,323,2,3403.6799999999994,121,Lost Customers
10202.0,347,2,5956.44,123,Lost Customers
10207.0,339,2,6381.9,123,Lost Customers
10208.0,442,1,5956.44,113,Lost Customers
10210.0,347,1,5530.98,112,Lost Customers
10212.0,465,1,2978.22,111,Lost Customers
10214.0,432,2,5530.98,122,Lost Customers
10224.0,354,2,2552.7599999999998,121,Lost Customers
10225.0,522,1,2978.22,111,Lost Customers
10231.0,357,1,5105.5199999999995,112,Lost Customers
10243.0,330,1,5530.98,112,Lost Customers
10252.0,390,2,8083.74,123,Lost Customers
10254.0,363,1,3829.14,112,Lost Customers
10255.0,384,1,850.92,111,Lost Customers
10258.0,462,1,1701.84,111,Lost Customers
10259.0,538,1,5530.98,112,Lost Customers
10263.0,379,3,7232.82,143,Lost Customers
10270.0,498,1,2127.2999999999997,111,Lost Customers
10273.0,374,2,5956.44,123,Lost Customers
10275.0,339,2,3829.1399999999994,122,Lost Customers
10276.0,478,1,2978.22,111,Lost Customers
10277.0,420,1,5530.98,112,Lost Customers
10302.0,530,1,4254.599999999999,112,Lost Customers
10310.0,505,1,4254.599999999999,112,Lost Customers
10312.0,431,1,5530.98,112,Lost Customers
10316.0,484,1,4254.599999999999,112,Lost Customers
10332.0,431,1,2978.22,111,Lost Customers
10342.0,366,1,4680.0599999999995,112,Lost Customers
10345.0,440,2,9785.579999999998,124,Lost Customers
10353.0,493,1,2978.22,111,Lost Customers
10358.0,453,1,2552.7599999999998,111,Lost Customers
10366.0,371,2,4680.0599999999995,122,Lost Customers
10408.0,424,1,850.92,111,Lost Customers
10417.0,400,1,2552.7599999999998,111,Lost Customers
