CustomerID,Recency,Frequency,Monetary,RFM_Score,Segment
10000.0,141,2,7658.279999999999,323,Potential Loyalists
10010.0,123,2,2127.2999999999997,321,Potential Loyalists
10014.0,192,3,4254.599999999999,342,Potential Loyalists
10016.0,189,2,8934.66,324,Potential Loyalists
10025.0,170,2,5105.5199999999995,322,Potential Loyalists
10035.0,155,1,2978.22,311,Potential Loyalists
10044.0,193,3,6381.9,343,Potential Loyalists
10047.0,243,3,9785.58,244,Potential Loyalists
10050.0,249,3,8934.66,244,Potential Loyalists
10056.0,194,4,4254.599999999999,252,Potential Loyalists
10058.0,186,2,5956.44,323,Potential Loyalists
10059.0,161,2,2552.7599999999998,321,Potential Loyalists
10061.0,258,4,11061.96,254,Potential Loyalists
10066.0,122,2,5956.44,323,Potential Loyalists
10067.0,154,3,8083.74,343,Potential Loyalists
10071.0,144,2,4680.0599999999995,322,Potential Loyalists
10079.0,286,3,8509.2,244,Potential Loyalists
10081.0,116,2,6381.9,323,Potential Loyalists
10083.0,170,2,8934.66,324,Potential Loyalists
10084.0,121,1,5530.98,312,Potential Loyalists
10089.0,190,2,6807.359999999999,323,Potential Loyalists
10091.0,263,6,22549.379999999997,255,Potential Loyalists
10118.0,147,3,5530.98,342,Potential Loyalists
10120.0,152,2,8509.199999999999,324,Potential Loyalists
10126.0,147,2,7658.28,323,Potential Loyalists
10131.0,120,3,8083.74,343,Potential Loyalists
10133.0,144,2,8083.74,323,Potential Loyalists
10136.0,134,2,10636.5,324,Potential Loyalists
10143.0,167,1,2978.22,311,Potential Loyalists
10156.0,237,5,17018.399999999998,255,Potential Loyalists
10157.0,269,3,9785.579999999998,244,Potential Loyalists
10163.0,173,2,5105.5199999999995,322,Potential Loyalists
10166.0,148,2,6381.9,323,Potential Loyalists
10168.0,138,2,3829.14,322,Potential Loyalists
10177.0,192,2,3829.1399999999994,322,Potential Loyalists
10179.0,193,1,2552.7599999999998,311,Potential Loyalists
